premise,hypothesis,label,explanation,label_name
"A middle-aged man wearing gray pants, a gray t-shirt, and a white cap is high on a ladder, helping to construct a grass hut.",Someone is climbing a ladder.,0,A man is someone and climbing can mean they are high,entailment
"Out in the desert during golden hour, a man wearing sunglasses is popping wheelies in a dune buggy by himself.",The man on the dune buggy is doing wheelies while his butt is in the air.,1,Just because the man is popping wheelies it does not mean his butt is in the air.,neutral
"People are playing a game of ball in the pool, one swimmer is trying to throw the yellow ball into the goal.",People in a pool are swimming.,1,People playing in the pool might not be swimming.,neutral
A male in a green shirt and jeans is sitting on the floor while turned to look slightly up at a female with a blue shirt and jeans sitting in a green chair.,The male has his butt on the floor.,0,When sitting a male is on butt.,entailment
"One man, in a white shirt, is remodeling a bathroom.",A man doing a construction project.,0,man is remodeling a bathroom is same as man doing a construction project,entailment
A small boy wearing a white shirt pushes a gray shopping cart.,A boy wearing a shirt.,0,bot are wearing,entailment
A young woman with purple dreads hula-hoops while wearing furry purple leg-warmers and hot blue Nikes.,A woman is dressed colorfully.,0,Purple is colourful.,entailment
Three ball players in uniform stretch on a striped green surface in front of a large crowd and signage.,Three baseball players are stretching.,1,Not all ball players are baseball players.,neutral
A woman in a blue shirt is carrying a little girl in a red an white dress outside a tent.,A woman is sitting on the stairs.,2,The woman can't be outside a tent if she is sitting on stairs.,contradiction
"White with black had hold white baby, while baby sleeps.",Two dogs walking in the woods.,2,baby is not an animal like a dog is,contradiction
A person sits in front of clay.,A person lays in front of clay.,0,A natural progression would be for a person to lays after they sits for a period of time.,entailment
Two girls are eating on a bench.,a group of people eat in the sand.,2,a group of people can be more than two girls.  It can also include males.,contradiction
Children in coats playing in fall leaves.,The chidren are sitting on a couch.,2,Sitting is passive while playing is active.,contradiction
Rear view of women in hats walking down sidewalk.,The women are walking away.,0,"To get a rear view of women walking, then they would have to be walking away.",entailment
"A group of young people sit at bar, socializing.",A group of friends are drinking at a bar,1,Just because the people are at a bar does not mean they are drinking.,neutral
"A group of people, some of whom are standing and using chopsticks, surround a table which is laden with plates of food.","A group of people, some of whom are standing and using chopsticks, are preparing to eat.",0,"""Preparing to eat"" is a rephrasing of ""surround a table which is laden with plates of food"".",entailment
A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.,A man in outer space.,2,Refers to a woman and woman cannot be a man,contradiction
A surfer rides the wave out.,A surfer rides a huge wave.,1,Just because a surfer rides a wave out it does not mean the wave is huge.,neutral
Construction workers laying wall tile in a hallway.,they are in a hallway,0,They is a pronoun used to substitute for construction workers.,entailment
Woman with blue robe and headwear is sitting with other women.,A tall human sitting,1,We don't know that the woman is tall.,neutral
A family prepares to ride on the water.,The people are thinking about the water and maybe taking a ride on it.,1,Prepares to ride on the water does not imply thinking about maybe doing it.,neutral
People walking around a downtown area of a city.,Some people enjoying local activities on downtown.,1,Just because people are walking around a downtown area does not mean that they are enjoying local activities.,neutral
A woman in a pink shirt cleaning a wooden table.,There is a women cleaning,0,the woman is cleaning.,entailment
A little girl with pigtails is getting a lift in trying to climb a cement fence.,A little girl wearing green trying to climb.,1,A girl is not assumed to be wearing green.,neutral
Little girl with big brown bright eyes looking through iron fence.,A girl looks through a fence.,0,The girl looking through the fence has big brown bright eyes.,entailment
A young girl with black hair smiles and dances on a boardwalk next to a large waterway.,A young girl is sleeping.,2,If she is sleeping the she wouldn't be smiles and dances.,contradiction
"A man is standing on a ladder in front of a cross, while a person is holding the ladder.",The man is getting a can out of the bottom shelf.,2,A man is standing and another man is bending over.,contradiction
A man and two girls show off a fish while holding fishing poles in front of a body of water.,Three people show off their fish.,0,Three is the total of a man and two girls.,entailment
People taking a boat ride and looking at a bridge.,People are riding on the trolly looking at a bridge.,2,People cannot be riding a trolly while riding a boat.,contradiction
A light tan cat laying down on a concrete ledge next to the bushes.,A cat is near some bushes.,0,A cat is near some bushes is a vague way of saying a light tan cat laying down on a concrete ledge next to bushes.,entailment
